comparison,table,dataset_id,heldout_batch,metric,population,lhs_method,lhs_dimension,rhs_method,rhs_dimension,lhs_mean,lhs_sd,rhs_mean,rhs_sd,difference,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,valid_batch,status,reason
sclsc30_minus_sclsc16,E2,pancreas,fluidigmc1,ASW_label/batch,joint,sclsc_refonly,30,sclsc_refonly,16,0.75136532805182887,0.0094186600049408712,0.75513462510535301,0.015274628241480327,-0.0037692970535241344,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,inDrop2,ASW_label/batch,joint,sclsc_refonly,30,sclsc_refonly,16,0.73872711529349178,0.01641447181104011,0.74237108023780651,0.012266380897504984,-0.0036439649443147371,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,inDrop3,ASW_label/batch,joint,sclsc_refonly,30,sclsc_refonly,16,0.72882212837505167,0.0068361557139445814,0.73224327563510094,0.00859146455148589,-0.0034211472600492732,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,10X,NMI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.72932494980790119,0.0089097548891049379,0.72696878115495855,0.0059393578860146975,0.0023561686529426362,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,Oetjen_A,NMI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.7277001512206549,0.0039874507353799774,0.73187582762851222,0.011685711224095015,-0.0041756764078573205,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,Villani,NMI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.74508258441350139,0.0036872834110553126,0.7483212761375877,0.0052078136475932945,-0.0032386917240863067,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,3,NMI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.84241378962425162,0.0091049184123167363,0.84098322503308531,0.011455545437590118,0.0014305645911663056,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,4,NMI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.83464674996568866,0.0096552132440848384,0.83331932360061811,0.010011119890712825,0.0013274263650705498,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,B1,NMI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.83807316687193034,0.0061175251528399694,0.82672017908170969,0.0083560634568170949,0.011352987790220648,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,fluidigmc1,NMI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.70863763860646589,0.0087613587716730643,0.70582271267267938,0.01043585641588924,0.0028149259337865162,5,5,5,5,True,computed,
