comparison,table,metric,population,lhs_mean,rhs_mean,difference,n_datasets_expected,n_datasets_valid,dataset_coverage,included_datasets,valid_datasets,status,n_batches_total,n_batches_expected,n_batches_valid,batch_coverage,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,n_lhs_seeds_paired,n_rhs_seeds_paired,valid_batches,reason
repeated_minus_unique128,E3,within_label_silhouette__sample_ID,joint,0.0065310376120887989,0.037190092584106986,-0.030659054972018183,1,1,1,immune_cell_human,immune_cell_human,computed,9,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,unpaired_na: lhs: all_na (not_applicable: Historical sample_ID panel is defined only for immune_cell_human); rhs: all_na (not_applicable: Historical sample_ID panel is defined only for immune_cell_human)
repeated_minus_unique128,E3,within_label_silhouette__sample_ID,query,NA,NA,NA,1,0,0,immune_cell_human,,all_na,9,3,0,0,15,15,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Historical sample_ID panel is defined only for immune_cell_human); rhs: all_na (not_applicable: Historical sample_ID panel is defined only for immune_cell_human); unpaired_na: lhs: all_na (not_applicable: No cell type has at least 10 cells and a mathematically valid multi-group silhouette); rhs: all_na (not_applicable: No cell type has at least 10 cells and a mathematically valid multi-group silhouette)
repeated_minus_unique128,E3,within_label_silhouette__sample_ID,reference,0.0013548881719251127,0.026366820153585862,-0.02501193198166075,1,1,1,immune_cell_human,immune_cell_human,computed,9,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,unpaired_na: lhs: all_na (not_applicable: Historical sample_ID panel is defined only for immune_cell_human); rhs: all_na (not_applicable: Historical sample_ID panel is defined only for immune_cell_human)
repeated_minus_unique128,E3,within_label_silhouette__study,joint,0.0065310376120887989,0.037190092584106986,-0.030659054972018183,1,1,1,immune_cell_human,immune_cell_human,computed,9,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,unpaired_na: lhs: all_na (not_applicable: Historical study panel is defined only for immune_cell_human); rhs: all_na (not_applicable: Historical study panel is defined only for immune_cell_human)
repeated_minus_unique128,E3,within_label_silhouette__study,query,NA,NA,NA,1,0,0,immune_cell_human,,all_na,9,3,0,0,15,15,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Historical study panel is defined only for immune_cell_human); rhs: all_na (not_applicable: Historical study panel is defined only for immune_cell_human); unpaired_na: lhs: all_na (not_applicable: No cell type has at least 10 cells and a mathematically valid multi-group silhouette); rhs: all_na (not_applicable: No cell type has at least 10 cells and a mathematically valid multi-group silhouette)
repeated_minus_unique128,E3,within_label_silhouette__study,reference,0.0013548881719251127,0.026366820153585862,-0.02501193198166075,1,1,1,immune_cell_human,immune_cell_human,computed,9,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,unpaired_na: lhs: all_na (not_applicable: Historical study panel is defined only for immune_cell_human); rhs: all_na (not_applicable: Historical study panel is defined only for immune_cell_human)
sclsc30_minus_sclsc16,E2,ARI_cluster/label,joint,0.35346182730336068,0.35043457311779003,0.0030272541855706036,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
sclsc30_minus_sclsc16,E2,ASW_label,joint,0.94802487558788717,0.94960566494199961,-0.001580789354112408,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
sclsc30_minus_sclsc16,E2,ASW_label/batch,joint,0.74279671887417364,0.73861308836792416,0.00418363050624953,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
sclsc30_minus_sclsc16,E2,NMI_cluster/label,joint,0.75668676986096095,0.75614525484262252,0.00054151501833849599,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
sclsc30_minus_sclsc16,E2,PCR_batch,joint,0.78349018782615909,0.78726914361118705,-0.003778955785028034,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
sclsc30_minus_sclsc16,E2,balanced_accuracy,query,0.84549991815387593,0.85259049737108084,-0.0070905792172050426,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
sclsc30_minus_sclsc16,E2,batchASW,joint,0.74279671887417364,0.73861308836792416,0.00418363050624953,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
sclsc30_minus_sclsc16,E2,cLISI,joint,1,1,0,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
sclsc30_minus_sclsc16,E2,cell_cycle_conservation,joint,0.49136629994666547,0.50098823403583759,-0.009621934089172007,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
