comparison,table,metric,population,dataset_id,lhs_mean,rhs_mean,difference,status,n_batches_total,n_batches_expected,n_batches_valid,batch_coverage,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,n_lhs_seeds_paired,n_rhs_seeds_paired,valid_batches,reason
repeated_minus_none128,E3,cLISI,joint,lung_atlas,0.99999999999999967,0.99999999999999967,-3.7007434154171883e-17,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,cLISI,joint,pancreas,1,1,0,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,cell_cycle_conservation,joint,immune_cell_human,0.57320299488718873,0.6463657009395205,-0.073162706052331772,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,cell_cycle_conservation,joint,lung_atlas,0.72565319861179656,0.73592299519988147,-0.010269796588084986,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,cell_cycle_conservation,joint,pancreas,0.31730710353133268,0.3290968039773628,-0.011789700446030135,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,graph_conn,joint,immune_cell_human,0.98672733367352183,0.98553375804194199,0.0011935756315799202,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,graph_conn,joint,lung_atlas,0.77597160737668081,0.76327542974814833,0.01269617762853259,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,graph_conn,joint,pancreas,0.88561713356704097,0.90206994605597668,-0.016452812488935747,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,hvg_overlap,joint,immune_cell_human,NA,NA,NA,all_na,3,3,0,0,15,15,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.)
repeated_minus_none128,E3,hvg_overlap,joint,lung_atlas,NA,NA,NA,all_na,3,3,0,0,15,15,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.)
repeated_minus_none128,E3,hvg_overlap,joint,pancreas,NA,NA,NA,all_na,3,3,0,0,15,15,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.)
repeated_minus_none128,E3,iLISI,joint,immune_cell_human,1.3949616414490933,1.1178409432995944,0.27712069814949908,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,iLISI,joint,lung_atlas,1.0692797330650146,0.82560076050797893,0.24367897255703544,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,iLISI,joint,pancreas,1.3384890948567454,0.71776067114929376,0.62072842370745152,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,isolated_label_F1,joint,immune_cell_human,0.89485090977408477,0.91439236168213289,-0.019541451908048235,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,isolated_label_F1,joint,lung_atlas,0.92294341860245999,0.92164972599101114,0.001293692611449071,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,isolated_label_F1,joint,pancreas,0.22491866000435781,0.24353943419765112,-0.018620774193293315,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,isolated_label_silhouette,joint,immune_cell_human,0.49309893511235714,0.49309893511235714,0,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,isolated_label_silhouette,joint,lung_atlas,0.5135470861569047,0.5135470861569047,0,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,isolated_label_silhouette,joint,pancreas,0.49594214993218583,0.49594214993218583,0,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,kBET,joint,immune_cell_human,0.031221230971706926,0.032872941203068919,-0.0016517102313619938,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,kBET,joint,lung_atlas,0.010960915659434868,0.012123936389607218,-0.0011630207301723515,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,kBET,joint,pancreas,0.0058953024678214403,0.005530964820177414,0.00036433764764402652,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,labelASW,joint,immune_cell_human,0.84236515760421737,0.82095744013786331,0.021407717466354354,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,labelASW,joint,lung_atlas,0.85022268096605946,0.82644114096959431,0.023781539996465078,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,labelASW,joint,pancreas,0.91434710224469506,0.88632314403851831,0.02802395820617672,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,macro_f1,query,immune_cell_human,0.76837928934885669,0.75715537375916409,0.011223915589692676,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,macro_f1,query,lung_atlas,0.83941299642860712,0.83657123094794628,0.0028417654806609516,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,macro_f1,query,pancreas,0.83169762708493289,0.82530092042169478,0.0063967066632379943,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,pseudotime_smoothness,joint,immune_cell_human,0.87282526164321672,0.87538917298603069,-0.0025639113428140106,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,pseudotime_smoothness,joint,lung_atlas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune); rhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune)
repeated_minus_none128,E3,pseudotime_smoothness,joint,pancreas,NA,NA,NA,all_na,3,0,0,NA,0,0,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune); rhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune)
