comparison,table,dataset_id,heldout_batch,metric,population,lhs_method,lhs_dimension,rhs_method,rhs_dimension,lhs_mean,lhs_sd,rhs_mean,rhs_sd,difference,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,valid_batch,status,reason
repeated_minus_none128,E3,pancreas,inDrop3,ASW_label/batch,joint,solar_orthogonal,128,solar_none,128,0.85927875520092645,0.0015399655194214227,0.86804901168503235,0.0034518261598348826,-0.0087702564841058983,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,10X,NMI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.73064502103065843,0.0031872025621799277,0.73016225141831281,0.0042487025048853037,0.00048276961234561266,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Oetjen_A,NMI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.75187824010268378,0.010507221335853616,0.74452889329428196,0.0072834540453026739,0.0073493468084018243,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Villani,NMI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.7607398855468841,0.0049568277955248504,0.76442440863568817,0.012854618312944009,-0.0036845230888040703,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,3,NMI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.7984647723991829,0.0063992864570090076,0.7988087970511899,0.0034746071286169628,-0.00034402465200700227,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,4,NMI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.79358404119763604,0.0045474295139231544,0.79263971068690597,0.0060214197120903876,0.00094433051073006258,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,B1,NMI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.80558059742780086,0.0030342331515556369,0.7974557442711554,0.0082508866892760692,0.0081248531566454618,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,fluidigmc1,NMI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.73831321071100331,0.0047293967894001523,0.72135596650604339,0.010152287136059588,0.01695724420495992,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop2,NMI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.72947304896293397,0.0056260385596534285,0.72216056230695691,0.0096499703174494911,0.0073124866559770574,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop3,NMI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.71348677813976435,0.01024057757623344,0.71177578845500566,0.01001793233576323,0.0017109896847586903,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,10X,PCR_batch,joint,solar_orthogonal,128,solar_none,128,0.69748778306458359,0.009084453593827313,0.6763360511900508,0.010064951652896458,0.021151731874532786,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Oetjen_A,PCR_batch,joint,solar_orthogonal,128,solar_none,128,0.73099547650135788,0.0040616880985651594,0.72455063081491089,0.015779569260280908,0.0064448456864469872,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Villani,PCR_batch,joint,solar_orthogonal,128,solar_none,128,0.73270695632303307,0.0059069967896498233,0.72712471341330298,0.011211057725910679,0.0055822429097300841,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,3,PCR_batch,joint,solar_orthogonal,128,solar_none,128,0.65967733852848665,0.0043053854286406491,0.60125721600227267,0.0068543754718141947,0.05842012252621398,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,4,PCR_batch,joint,solar_orthogonal,128,solar_none,128,0.67692335384463587,0.0064909277347686015,0.61451334933925739,0.012620935553238415,0.06241000450537848,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,B1,PCR_batch,joint,solar_orthogonal,128,solar_none,128,0.66794961701670874,0.0065849431321532773,0.60623761347930161,0.017582037058920773,0.061712003537407134,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,fluidigmc1,PCR_batch,joint,solar_orthogonal,128,solar_none,128,0.92511382464775738,0.0014915249049853648,0.9276539108254841,0.0020162473587268387,-0.0025400861777267192,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop2,PCR_batch,joint,solar_orthogonal,128,solar_none,128,0.92528677352582966,0.00169939130998537,0.9271414152316243,0.0017875447643654061,-0.0018546417057946352,5,5,5,5,True,computed,
