method,dimension,dataset_id,heldout_batch,metric,population,mean,sd,sd_status,n_seeds_expected,n_seeds_present,n_seeds_finite,n_seeds_comparable,numeric_seed_coverage,seed_coverage,source_statuses,status,reason,run_ids,block
frozen_reference_scanvi,30,immune_cell_human,Oetjen_A,ASW_label,joint,0.64705798327922825,0.0063783430507411464,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s40|historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s41|historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s42|historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s43|historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s44,common30
frozen_reference_scanvi,30,immune_cell_human,Villani,ASW_label,joint,0.623727111518383,0.0035762376498963658,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s40|historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s41|historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s42|historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s43|historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s44,common30
frozen_reference_scanvi,30,lung_atlas,3,ASW_label,joint,0.65456169843673706,0.0048563957303092917,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__lung_atlas__3__s40|historical__frozen_reference_scanvi__d30__lung_atlas__3__s41|historical__frozen_reference_scanvi__d30__lung_atlas__3__s42|historical__frozen_reference_scanvi__d30__lung_atlas__3__s43|historical__frozen_reference_scanvi__d30__lung_atlas__3__s44,common30
frozen_reference_scanvi,30,lung_atlas,4,ASW_label,joint,0.6488596498966217,0.0031769251505228786,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__lung_atlas__4__s40|historical__frozen_reference_scanvi__d30__lung_atlas__4__s41|historical__frozen_reference_scanvi__d30__lung_atlas__4__s42|historical__frozen_reference_scanvi__d30__lung_atlas__4__s43|historical__frozen_reference_scanvi__d30__lung_atlas__4__s44,common30
frozen_reference_scanvi,30,lung_atlas,B1,ASW_label,joint,0.65405974090099339,0.0027025726586814612,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__lung_atlas__B1__s40|historical__frozen_reference_scanvi__d30__lung_atlas__B1__s41|historical__frozen_reference_scanvi__d30__lung_atlas__B1__s42|historical__frozen_reference_scanvi__d30__lung_atlas__B1__s43|historical__frozen_reference_scanvi__d30__lung_atlas__B1__s44,common30
frozen_reference_scanvi,30,pancreas,fluidigmc1,ASW_label,joint,0.67622551023960109,0.0051590746172236043,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s40|historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s41|historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s42|historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s43|historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s44,common30
frozen_reference_scanvi,30,pancreas,inDrop2,ASW_label,joint,0.67891800999641416,0.0030642377533334178,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s40|historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s41|historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s42|historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s43|historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s44,common30
frozen_reference_scanvi,30,pancreas,inDrop3,ASW_label,joint,0.67727741003036501,0.0035253683254797986,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s40|historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s41|historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s42|historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s43|historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s44,common30
frozen_reference_scanvi,30,immune_cell_human,10X,ASW_label/batch,joint,0.87407154722881852,0.0025842216685701075,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s40|historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s41|historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s42|historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s43|historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s44,common30
frozen_reference_scanvi,30,immune_cell_human,Oetjen_A,ASW_label/batch,joint,0.86236934571710455,0.0022524651819065718,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s40|historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s41|historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s42|historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s43|historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s44,common30
