run,job_index,job_id,dataset_id,method,track,seed,preprocessing_profile,output_type,scib_commit,metric__ARI_cluster/label,status__ARI_cluster/label,metric__ASW_label,status__ASW_label,metric__ASW_label/batch,status__ASW_label/batch,metric__NMI_cluster/label,status__NMI_cluster/label,metric__PCR_batch,status__PCR_batch,metric__cLISI,status__cLISI,metric__cell_cycle_conservation,status__cell_cycle_conservation,metric__graph_conn,status__graph_conn,metric__hvg_overlap,status__hvg_overlap,metric__iLISI,status__iLISI,metric__isolated_label_F1,status__isolated_label_F1,metric__isolated_label_silhouette,status__isolated_label_silhouette,metric__kBET,status__kBET,metric__trajectory,status__trajectory,split_seed,model_seed,anchor_seed,split_id,heldout_batch,dimension,expected_dimension,actual_dimension
primary_128d,35,core__pancreas__hvg2000_pca40__solar_orthogonal__random_seed_40__s40__a0__l1p00,pancreas,solar_orthogonal,core,40,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.35771274120297686,computed,0.9238013029098511,computed,0.8711448527955313,computed,0.7383376523949121,computed,0.9263069407326054,computed,1.0,computed,0.31449323793819167,computed,0.9172719418587837,computed,,not_applicable,1.4697598951442026,computed,0.2641509433962264,computed,0.49594214651733637,computed,0.001648782398994575,computed,,not_applicable,40.0,40.0,0.0,random_seed_40,,128,128,128.0
primary_128d,36,core__pancreas__hvg2000_pca40__solar_orthogonal__random_seed_41__s41__a0__l1p00,pancreas,solar_orthogonal,core,41,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.3570766559511398,computed,0.9199102520942688,computed,0.8697380696952507,computed,0.73544629596338,computed,0.9262789110679795,computed,1.0,computed,0.3048878269823059,computed,0.9251168383094084,computed,,not_applicable,1.3324653859491207,computed,0.2692307692307693,computed,0.49594215024262667,computed,0.0012160956881456242,computed,,not_applicable,41.0,41.0,0.0,random_seed_41,,128,128,128.0
primary_128d,37,core__pancreas__hvg2000_pca40__solar_orthogonal__random_seed_42__s42__a0__l1p00,pancreas,solar_orthogonal,core,42,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.3506801379893577,computed,0.915245771408081,computed,0.8569318552906907,computed,0.7383037034978798,computed,0.9231775350233722,computed,1.0,computed,0.30906704520982586,computed,0.785908804648538,computed,,not_applicable,1.2379605592495313,computed,0.2641509433962264,computed,0.4959421483799815,computed,0.015046044697400562,computed,,not_applicable,42.0,42.0,0.0,random_seed_42,,128,128,128.0
primary_128d,38,core__pancreas__hvg2000_pca40__solar_orthogonal__random_seed_43__s43__a0__l1p00,pancreas,solar_orthogonal,core,43,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.3461554999947644,computed,0.9211086928844452,computed,0.8526185761594782,computed,0.7386520964972355,computed,0.9253253685331084,computed,1.0,computed,0.3052963608307419,computed,0.8444530936848624,computed,,not_applicable,1.4101669947467461,computed,0.2692307692307693,computed,0.4959421493113041,computed,0.003783374676283646,computed,,not_applicable,43.0,43.0,0.0,random_seed_43,,128,128,128.0
primary_128d,39,core__pancreas__hvg2000_pca40__solar_orthogonal__random_seed_44__s44__a0__l1p00,pancreas,solar_orthogonal,core,44,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.35285755502190064,computed,0.9226531684398651,computed,0.8608321685519872,computed,0.7368436715591586,computed,0.9250876181980049,computed,1.0,computed,0.31294657343980703,computed,0.9774124232114191,computed,,not_applicable,1.471235819847133,computed,0.2692307692307693,computed,0.4959421483799815,computed,0.001150778215208148,computed,,not_applicable,44.0,44.0,0.0,random_seed_44,,128,128,128.0
primary_128d,50,core__simulation_1__hvg2000_pca40__solar_orthogonal__random_seed_40__s40__a0__l1p00,simulation_1,solar_orthogonal,core,40,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.45245464237311267,computed,0.957900881767273,computed,0.9329613825957451,computed,0.761109950849743,computed,0.9347201448879847,computed,1.0,computed,,not_applicable,1.0,computed,,not_applicable,1.4349300367470619,computed,0.9975429975429976,computed,0.5308207180351019,computed,0.08891585840861083,computed,,not_applicable,40.0,40.0,0.0,random_seed_40,,128,128,128.0
primary_128d,51,core__simulation_1__hvg2000_pca40__solar_orthogonal__random_seed_41__s41__a0__l1p00,simulation_1,solar_orthogonal,core,41,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.4315414092487948,computed,0.9581728875637054,computed,0.9349701349228697,computed,0.7557399330500961,computed,0.9331694192970558,computed,1.0,computed,,not_applicable,1.0,computed,,not_applicable,1.2903363339234422,computed,1.0,computed,0.530820719897747,computed,0.08131957777226628,computed,,not_applicable,41.0,41.0,0.0,random_seed_41,,128,128,128.0
primary_128d,52,core__simulation_1__hvg2000_pca40__solar_orthogonal__random_seed_42__s42__a0__l1p00,simulation_1,solar_orthogonal,core,42,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.5360058502875789,computed,0.9582732021808624,computed,0.938851847388281,computed,0.7932029171026569,computed,0.9333911606465527,computed,1.0,computed,,not_applicable,1.0,computed,,not_applicable,1.3821768766532347,computed,1.0,computed,0.530820719897747,computed,0.07687732627484878,computed,,not_applicable,42.0,42.0,0.0,random_seed_42,,128,128,128.0
primary_128d,53,core__simulation_1__hvg2000_pca40__solar_orthogonal__random_seed_43__s43__a0__l1p00,simulation_1,solar_orthogonal,core,43,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.5049576273658176,computed,0.9584755003452301,computed,0.9392927057619739,computed,0.7817548756415781,computed,0.9313347419150793,computed,1.0,computed,,not_applicable,1.0,computed,,not_applicable,1.4842077083386314,computed,1.0,computed,0.530820719897747,computed,0.12257993789689914,computed,,not_applicable,43.0,43.0,0.0,random_seed_43,,128,128,128.0
primary_128d,54,core__simulation_1__hvg2000_pca40__solar_orthogonal__random_seed_44__s44__a0__l1p00,simulation_1,solar_orthogonal,core,44,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.5322794775177168,computed,0.9581509530544281,computed,0.9315955805927576,computed,0.7943857463933143,computed,0.9324145262043251,computed,1.0,computed,,not_applicable,1.0,computed,,not_applicable,1.4749775547891044,computed,0.9975429975429976,computed,0.530820719897747,computed,0.17963266246736176,computed,,not_applicable,44.0,44.0,0.0,random_seed_44,,128,128,128.0
